year,gdp_per_capita_usd,gdp_per_capita_ppp,gdp_total_usd,industry_value_added_pct_gdp,services_value_added_pct_gdp,agriculture_value_added_pct_gdp,employment_agriculture_pct,employment_industry_pct,employment_services_pct,labor_force_total,unemployment_rate_pct,urban_population_pct,population_total,population_65plus_pct,population_15_64_pct,tertiary_enrollment_gross,secondary_enrollment_gross,internet_users_pct,mobile_subscriptions_per100,fixed_broadband_per100,fdi_net_inflows_usd,gross_fixed_capital_formation_pct_gdp,domestic_credit_private_pct_gdp,rd_expenditure_pct_gdp
2000,969.199513696287,2963.53238602023,1223754919971.05,45.0738315177586,40.398939477991,14.5272519499825,50.0395612662259,24.6470198851309,25.3134188486432,706837950.0,3.26,36.4320234662299,1262645000.0,7.01747574076251,68.43842782702,7.57777976989746,59.4924812316895,1.77591,6.7156,0.00178484,42095300000.0,32.6471790154044,109.994877039067,0.89316
2001,1065.40597574519,3258.40210660305,1355036590251.52,44.276543602601,41.9013296504106,13.8221069560341,50.0000075818034,22.2999534859973,27.7000389321993,715928584.0,3.8,37.6597442626953,1271850000.0,7.21351682273765,68.9801155359775,9.28069019317627,62.2098388671875,2.63965,11.3253,0.0262981,47053000000.0,33.4598817910203,108.774792189184,0.94033
2002,1163.55957673426,3590.7659594167,1489821682050.54,43.8758028122184,42.9947150275034,13.1294938258189,49.9999932729708,21.4001070576635,28.5998919404385,725938760.0,4.24,39.0897827148438,1280400000.0,7.40162875834336,69.67006217559,11.8050804138184,62.8378982543945,4.5957,16.0083,0.256319,53073618897.4036,34.9878641071948,115.979390472452,1.05786
2003,1306.97245408557,4007.11604605423,1683903309843.85,44.9827621327146,42.8414813603076,12.1757600914927,49.0994891398691,21.6000317879629,29.3004810570726,735682023.0,4.58,40.5302314758301,1288400000.0,7.57962663220469,70.3774446816481,14.513970375061,64.0541305541992,6.2,20.8536,0.866656,57900937467.3864,38.0846809344133,123.908441331551,1.12037
2004,1530.92726215723,4504.92937237596,1984196551300.44,45.2328326582556,42.0383247680055,12.7288429360401,46.9002521281439,22.4994633352348,30.6002920912406,744936890.0,4.49,41.7600135803223,1296075000.0,7.73725110121901,71.0763188122428,16.9004402160644,,7.3,25.7141,1.91534,68117272181.2194,39.3505370582361,116.911160094503,1.21498
2005,1777.64496828464,5148.18273933805,2317551298052.05,46.3816216984585,42.1355659992365,11.4828123533826,44.8001963078147,23.8000197014041,31.3997915890731,754465388.0,4.52,42.9899978637695,1303720000.0,7.88962840533466,71.815903350805,18.6565208435059,,8.52326,30.0304,2.85109,104108693867.085,39.2703289759488,110.318412911549,1.30792
2006,2129.25696999613,5946.28682830185,2791498472804.33,46.8865028592172,42.6376503739806,10.4758623658001,42.6004881144556,25.1993927171682,32.2001132949176,761959276.0,4.43,44.3430099487305,1311020000.0,8.05386346846253,72.353957155972,20.5667705535889,74.0575637817383,10.5232,34.9802,3.85819,124082035618.505,38.5215726233992,107.618484093695,1.36854
2007,2734.72709877693,6935.26580584434,3604055822571.63,46.1852362301075,43.7213258311976,10.0934194559262,40.8000442662963,26.799965080269,32.4000001442606,766486940.0,4.35,45.8892440795898,1317885000.0,8.21258625792709,72.6173623452205,21.4715595245361,78.1607131958008,16.0,41.2808,5.0093,156249335203.201,37.6709873123357,104.210464888538,1.37369
2008,3523.44302065213,7712.84608425069,4667346414521.95,46.2364191302482,43.7535960098397,10.0099770734138,39.6000709393206,27.1998176284931,33.2001114321863,769779554.0,4.59,46.9895057678223,1324655000.0,8.35535290441098,72.7779121303034,21.8667392730713,82.6792526245117,22.6,48.0758,6.21365,171534650311.568,38.8030814219879,100.407960956815,1.44592
2009,3898.24459158811,8447.98281469227,5189577094997.58,45.1788587231356,45.3481536809041,9.47299581661597,38.0998847578432,27.8001237336841,34.0999915084727,772141043.0,4.72,48.3417053222656,1331260000.0,8.49817888668038,72.856169869084,23.2886295318604,88.2874984741211,28.9,55.6575,7.74497,131057052869.5,43.4097668520056,122.30114770831,1.6648
2010,4629.24551710077,9411.13821903204,6192564874453.29,45.7066207106778,45.126871988843,9.16649906130733,36.7006103588109,28.6998228439976,34.5995667971914,773873234.0,4.53,49.2340270628041,1337705000.0,8.66147143784386,72.8644787380355,25.2883066277701,90.7829173331445,34.3,63.5563,9.34748,243703434558.177,43.5201821905755,124.425608463989,1.71372
2011,5703.76027973346,10456.7916826113,7671757207851.29,45.8002054108107,45.1659405665759,9.0338458593332,34.7997907041488,29.5001327749191,35.7000783844491,778275581.0,4.55,51.8300285339355,1345035000.0,8.85916872860311,72.7988185445213,26.7875039907406,92.0329425203903,38.3,72.5052,11.5043,280072219149.934,43.515390928039,121.167093127879,1.78034
2012,6405.0574241349,11420.2527051141,8673664713189.24,44.6820698165478,46.3528742639869,8.96505673533992,33.600592285725,30.2995918411543,36.0998140108212,779022561.0,4.58,53.1003112792969,1354190000.0,9.08920186808881,72.6134379386083,29.3081906903292,92.2603063015232,42.3001,81.2076,12.7916,241213868161.42,43.8737076505916,126.819734509975,1.91214
2013,7147.03518622344,12228.3736084197,9743124247267.24,43.3938707801605,47.8217057140074,8.78442131602471,31.4002857020434,30.099901194464,38.4998131034926,779251311.0,4.6,54.4900016784668,1363240000.0,9.3562686156071,72.3383307205597,32.7191603158803,,45.8,89.1302,13.6989,290928431467.003,44.0755431365052,131.939045697462,1.99786
2014,7781.06597484974,12941.5964809146,10674533168257.4,42.2827157791092,49.2348611102851,8.48242940933654,29.5004728042914,29.9004572371177,40.5990776614307,780370287.0,4.63,55.7502555847168,1371860000.0,9.6661987378912,72.0051656801854,43.7110051016854,,47.9,92.6612,14.4445,268097181064.335,43.3803473680085,137.623726308462,2.02243
2015,8175.33285077393,13463.3331511105,11280814787468.9,40.0475902161032,51.72839163487,8.22401359479525,28.3004717268993,29.2998175326072,42.3997107404935,781077009.0,4.65,57.3297843933105,1379860000.0,10.053420914992,71.6284345359877,47.1192619330726,,50.3,92.5401,19.8438,242489331627.398,41.6166710438192,149.628832038708,2.05701
2016,8254.86859320357,14157.2514988004,11456024084962.0,38.811156093921,53.2881936644189,7.90065017505416,27.4221249065299,29.6444492814543,42.9334259446319,780932880.0,4.56,58.8399238586426,1387790000.0,10.4907994645602,71.2044525051679,49.309077375597,,53.2,97.2139,22.9761,174749584584.05,41.0805800894123,153.192761827313,2.10033
2017,8979.67652709856,15022.4371883124,12537559062282.9,39.129944350895,53.541663396795,7.32839239286042,26.6835826166189,29.9706060456204,43.3458036346466,779166682.0,4.47,60.2402687072754,1396215000.0,10.9809606634325,70.6659121055216,51.0678812273407,,54.3,104.073,27.9101,166083755721.648,41.4184897995936,152.089747458443,2.11603
2018,10085.6638148819,16298.2050619109,14147765772963.8,38.9777001747097,54.1051640361573,6.91714289236836,25.7514953274594,30.3637847933889,43.8847198791517,776868988.0,4.31,61.5001983642578,1402760000.0,11.5162092042497,70.1553162360731,53.3987984572814,,59.2,116.229,28.7089,235365050036.341,42.3803760237203,154.991560224764,2.14058
2019,10342.9009524335,17600.8907568493,14560167101283.4,37.7642333162735,55.2295599322538,7.00621575788341,24.7219896643701,30.7587386897164,44.5192735154599,775928449.0,4.56,62.7099151611328,1407745000.0,12.0613659717192,69.74115264804,56.6050917923292,,64.0809,122.67,31.5611,187169822364.755,42.2503490502374,162.207566232758,2.24463
2020,10627.4637989619,18267.4783455827,14996414166715.1,36.9115624066306,55.5482556415912,7.54018198521241,23.5998596785258,31.1322866175828,45.2678537038915,760877838.0,5.0,63.5234230266258,1411100000.0,12.6452376078587,69.3999249325134,61.6124675996947,,70.0528,120.497,33.907,253095616058.58,41.8494114609444,179.104100221958,2.40666
2021,12887.4357242941,20843.2978347377,18201698719564.0,38.0924722040717,54.8181795722183,7.08935251618004,22.8687780404897,31.5342449659426,45.5969845625275,781187865.0,4.55,64.721076965332,1412360000.0,13.2057410345267,69.2124049434275,66.8186077597542,,73.0532,121.492,37.5612,344074977062.48,41.3521203793076,173.554518720488,2.4326
2022,12970.6056414327,23032.1766271143,18316765021690.2,37.8945266620066,54.9575804271762,7.14788692830171,24.0801085619325,30.9312938882327,44.9886051327682,770113477.0,4.98,65.2176361083984,1412175000.0,13.781930345649,69.0962698960779,71.5799465086024,,75.6113,124.195,41.3736,190203789092.51,41.2329317275585,181.785162429715,2.55518
2023,12951.1782397043,25179.1193066383,18270356654533.2,36.7725030223561,56.3379775668432,6.88951941080068,22.8008772042629,31.4267217641686,45.7723935112505,774607590.0,4.67,65.5301448035523,1410710000.0,14.3160774690688,69.0943118083391,74.5933014618366,,90.6,128.247,44.7289,51338076801.59,40.4544347218594,189.606708989308,
